"","country_iso_code","country","value2010","value2019","difference"
"121","PER","Peru",0.401,0.383,-0.018
"122","PHL","Philippines",0.443,0.392,-0.051
"123","PNG","Papua New Guinea",0.682,0.816,0.134
"124","POL","Poland",0.171,0.111,-0.06
"125","PRT","Portugal",0.127,0.078,-0.049
"126","PRY","Paraguay",0.484,0.435,-0.049
"127","QAT","Qatar",0.669,0.167,-0.502
"128","ROU","Romania",0.343,0.232,-0.111
"129","RUS","Russian Federation",0.275,0.164,-0.111
"130","RWA","Rwanda",0.453,0.411,-0.042
"131","SAU","Saudi Arabia",0.746,0.278,-0.468
"132","SDN","Sudan",0.614,0.561,-0.0529999999999999
"133","SEN","Senegal",0.576,0.51,-0.0659999999999999
"134","SGP","Singapore",0.085,0.05,-0.035
"135","SLE","Sierra Leone",0.652,0.615,-0.037
"136","SLV","El Salvador",0.396,0.358,-0.038
"137","SRB","Serbia",0.207,0.118,-0.089
"138","SUR","Suriname",0.513,0.406,-0.107
"139","SVK","Slovakia",0.203,0.194,-0.00900000000000001
"140","SVN","Slovenia",0.128,0.07,-0.058
"141","SWE","Sweden",0.051,0.023,-0.028
"142","SWZ","Eswatini (Kingdom of)",NA,0.521,NA
"143","SYR","Syrian Arab Republic",0.493,0.487,-0.00600000000000001
"144","TCD","Chad",NA,0.7,NA
"145","TGO","Togo",0.627,0.584,-0.043
"146","THA","Thailand",0.365,0.316,-0.049
"147","TJK","Tajikistan",0.369,0.291,-0.078
"148","TLS","Timor-Leste",0.53,0.42,-0.11
"149","TON","Tonga",NA,0.43,NA
"150","TTO","Trinidad and Tobago",0.335,0.269,-0.066
"151","TUN","Tunisia",0.287,0.262,-0.025
"152","TUR","Turkey",0.416,0.277,-0.139
"153","TZA","Tanzania (United Republic of)",0.564,0.52,-0.0439999999999999
"154","UGA","Uganda",0.549,0.528,-0.021
"155","UKR","Ukraine",0.296,0.158,-0.138
"156","URY","Uruguay",0.324,0.267,-0.057
"157","USA","United States",0.244,0.192,-0.052
"158","UZB","Uzbekistan",0.271,0.251,-0.02
"159","VEN","Venezuela (Bolivarian Republic of)",0.489,0.497,0.00800000000000001
"160","VNM","Viet Nam",0.363,0.391,0.028
"161","WSM","Samoa",NA,0.432,NA
"162","YEM","Yemen",0.792,0.789,-0.003
"163","ZAF","South Africa",0.456,0.408,-0.048
"164","ZMB","Zambia",0.58,0.521,-0.0589999999999999
"165","ZWE","Zimbabwe",0.594,0.527,-0.0669999999999999
